project_id,project_name,client_name,technology,status,completion_percentage,budget,start_date,team_size
75,Healthcare Portal,CloudMasters,Angular/.NET,Active,69,1202001,4/11/2024,8
76,E-commerce Platform,EduTech Solutions,Python/Django,Planning,32,2790649,1/7/2024,6
77,IoT Monitoring System,HealthPlus,Angular/.NET,Planning,38,1273857,1/11/2024,10
78,Video Streaming App,SmartDevices Co,Java/Spring,Completed,15,1449234,5/4/2024,8
79,CRM System,SocialConnect,Angular/.NET,Planning,41,3495725,11/11/2024,15
80,Learning Management System,TechCorp Ltd,Python/Django,Completed,79,4553518,7/5/2024,12
81,Mobile Banking App,CryptoSecure,Angular/.NET,Active,59,1514932,10/19/2024,8
82,Analytics Dashboard,MediCare Systems,React/Node.js,Active,71,1025061,1/30/2024,12
83,Real Estate Platform,LogiTrack,Angular/.NET,Active,81,3266925,10/28/2024,12
84,Analytics Dashboard,FinanceFirst,Java/Spring,Active,68,1794187,3/8/2024,4
85,Real Estate Platform,FinanceFirst,Java/Spring,Planning,87,3015809,11/3/2024,10
86,AI Chatbot Platform,StreamTech,Flutter,Active,88,3083655,5/28/2024,12
87,CRM System,DocuFlow,PHP/Laravel,Completed,63,1480777,8/23/2024,5
88,Financial Analytics Tool,CloudMasters,PHP/Laravel,Completed,46,4494274,6/15/2024,4
89,HR Management System,SocialConnect,Java/Spring,Completed,28,2870295,2/14/2024,10
90,Learning Management System,PeopleFirst,Angular/.NET,Completed,31,2927782,12/15/2024,15
91,HR Management System,EduTech Solutions,React/Node.js,Active,38,2016940,2/23/2024,10
92,Real Estate Platform,MediCare Systems,Flutter,Active,13,2385643,5/10/2024,5
93,Analytics Dashboard,StreamTech,React/Node.js,Planning,33,1533140,4/6/2024,6
94,Learning Management System,SocialConnect,Flutter,Active,15,2099839,1/29/2024,5
95,Healthcare Portal,StreamTech,PHP/Laravel,Active,60,4075444,11/28/2024,10
96,Real Estate Platform,PropTech Inc,Flutter,Active,74,2196944,4/10/2024,7
97,Financial Analytics Tool,DocuFlow,Flutter,Active,73,3305005,3/6/2024,14
98,Blockchain Wallet,RetailMax,Flutter,Completed,24,1566020,7/24/2024,7
99,E-commerce Platform,HealthPlus,Angular/.NET,Planning,54,2432649,8/19/2024,15
100,Analytics Dashboard,PropTech Inc,Flutter,Active,39,2346784,8/17/2024,5
101,AI Chatbot Platform,DocuFlow,PHP/Laravel,Planning,54,2014371,4/3/2024,11
102,Social Media Dashboard,HealthPlus,React/Node.js,Active,75,3333912,12/2/2024,12
103,Learning Management System,EduTech Solutions,Flutter,Active,17,2949458,11/19/2024,4
104,Analytics Dashboard,CryptoSecure,Flutter,Active,72,3251949,4/9/2024,14
105,Mobile Banking App,FinanceFirst,Angular/.NET,Planning,74,2446851,12/7/2024,10
106,Customer Support Portal,InvestSmart,Python/Django,Active,12,2632907,2/9/2024,5
107,Blockchain Wallet,PeopleFirst,Java/Spring,Planning,12,2147671,7/13/2024,7
108,Real Estate Platform,StreamTech,PHP/Laravel,Active,47,1287416,6/8/2024,13
109,Mobile Banking App,PropTech Inc,Python/Django,Completed,73,3767818,8/1/2024,11
110,Blockchain Wallet,FinanceFirst,Python/Django,Planning,96,3092839,3/27/2024,10
111,Blockchain Wallet,FinanceFirst,Angular/.NET,Completed,100,1269398,1/9/2024,6
112,IoT Monitoring System,SmartDevices Co,Python/Django,Completed,12,3211889,3/25/2024,7
113,AI Chatbot Platform,SocialConnect,React/Node.js,Completed,44,4792536,9/26/2024,3
114,Logistics Tracker,InvestSmart,Flutter,Active,39,2532786,10/9/2024,14
115,Document Management,EduTech Solutions,React/Node.js,Planning,33,2326338,11/16/2024,6
116,Inventory Management,DocuFlow,Python/Django,Completed,94,4530075,5/22/2024,11
117,Video Streaming App,FinanceFirst,Python/Django,Completed,32,1609311,4/5/2024,9
118,Cloud Migration Project,CryptoSecure,React/Node.js,Completed,41,4345382,7/10/2024,6
119,Financial Analytics Tool,CryptoSecure,Python/Django,Active,20,3758483,8/22/2024,6
120,Cloud Migration Project,TechCorp Ltd,Flutter,Completed,43,2831019,2/8/2024,6
121,E-commerce Platform,SupportDesk,Java/Spring,Active,68,972861,5/26/2024,12
122,Analytics Dashboard,MediCare Systems,Flutter,Active,81,4903929,6/10/2024,10
123,Video Streaming App,PropTech Inc,Flutter,Completed,100,1271044,6/10/2024,12
124,Social Media Dashboard,DocuFlow,Python/Django,Active,52,3429047,3/7/2024,8
125,Blockchain Wallet,EduTech Solutions,Flutter,Completed,76,4989138,10/5/2024,12
126,Logistics Tracker,InvestSmart,Python/Django,Active,95,3687822,6/17/2024,12
127,Analytics Dashboard,SmartDevices Co,Flutter,Planning,56,2723088,9/29/2024,15
128,Healthcare Portal,EduTech Solutions,Flutter,Planning,45,2968409,10/15/2024,10
129,Learning Management System,ChatBot Solutions,React/Node.js,Active,14,1268925,11/22/2024,7
130,Healthcare Portal,DocuFlow,Angular/.NET,Active,21,4578051,3/16/2024,14
131,HR Management System,CryptoSecure,Python/Django,Completed,55,4525155,10/3/2024,11
132,Mobile Banking App,MediCare Systems,React/Node.js,Planning,92,4967746,6/1/2024,11
133,Social Media Dashboard,PropTech Inc,Python/Django,Completed,69,3580955,5/9/2024,9
134,Real Estate Platform,SupportDesk,PHP/Laravel,Planning,79,927313,12/26/2024,13
135,Food Delivery App,CloudMasters,React/Node.js,Planning,47,2958048,1/23/2024,5
136,Mobile Banking App,MediCare Systems,Flutter,Active,97,921173,7/28/2024,12
137,Healthcare Portal,FinanceFirst,PHP/Laravel,Completed,15,3047755,10/1/2024,15
138,Real Estate Platform,InvestSmart,PHP/Laravel,Completed,94,4302961,10/21/2024,15
139,Financial Analytics Tool,PropTech Inc,Flutter,Completed,53,4285928,9/2/2024,13
140,CRM System,SocialConnect,React/Node.js,Completed,13,2047276,7/16/2024,13
141,Cloud Migration Project,PeopleFirst,Angular/.NET,Completed,56,1905206,7/29/2024,10
142,Video Streaming App,DataViz Pro,React/Node.js,Active,58,3377207,10/7/2024,10
143,Food Delivery App,StreamTech,PHP/Laravel,Active,74,1294859,11/10/2024,6
144,Financial Analytics Tool,EduTech Solutions,Flutter,Planning,11,4947498,5/11/2024,10
145,Food Delivery App,SupportDesk,Flutter,Planning,56,3019117,6/4/2024,4
146,Healthcare Portal,CryptoSecure,Flutter,Planning,13,3068259,3/24/2024,13
147,Video Streaming App,PropTech Inc,PHP/Laravel,Active,87,4659645,7/5/2024,8
148,Healthcare Portal,FoodieExpress,Python/Django,Planning,49,2470985,1/26/2024,8
149,Food Delivery App,InvestSmart,Java/Spring,Completed,39,3472389,3/20/2024,3
150,Cloud Migration Project,FinanceFirst,React/Node.js,Planning,95,2930323,1/19/2024,9
151,Inventory Management,DataViz Pro,Python/Django,Active,64,2646831,4/9/2024,3
152,Inventory Management,PropTech Inc,Flutter,Planning,52,1562725,12/8/2024,10
153,Cloud Migration Project,TechCorp Ltd,Flutter,Planning,64,4811429,5/7/2024,10
154,Inventory Management,FoodieExpress,Java/Spring,Planning,40,3738355,4/28/2024,10
155,Analytics Dashboard,MediCare Systems,Java/Spring,Completed,69,1909107,3/27/2024,6
156,E-commerce Platform,FoodieExpress,Java/Spring,Completed,67,2388658,7/26/2024,12
157,Mobile Banking App,ChatBot Solutions,Python/Django,Planning,99,1961053,2/1/2024,13
158,HR Management System,SmartDevices Co,Python/Django,Planning,55,2550297,1/23/2024,9
159,Food Delivery App,ChatBot Solutions,React/Node.js,Planning,22,3614829,2/1/2024,9
160,Healthcare Portal,FoodieExpress,Java/Spring,Active,62,3560016,8/4/2024,4
161,HR Management System,ChatBot Solutions,Flutter,Planning,23,2956620,9/2/2024,3
162,Customer Support Portal,StreamTech,Python/Django,Completed,76,4620548,1/2/2024,15
163,Customer Support Portal,InvestSmart,Python/Django,Active,71,2625583,11/30/2024,4
164,AI Chatbot Platform,MediCare Systems,Python/Django,Active,17,4646636,12/28/2024,10
165,CRM System,DataViz Pro,Java/Spring,Completed,14,3319552,10/11/2024,15
166,Social Media Dashboard,FinanceFirst,Flutter,Active,46,1894503,4/5/2024,15
167,AI Chatbot Platform,ChatBot Solutions,Python/Django,Active,72,3530586,6/13/2024,14
168,AI Chatbot Platform,EduTech Solutions,PHP/Laravel,Active,60,3682099,12/3/2024,8
169,Blockchain Wallet,PropTech Inc,PHP/Laravel,Active,39,4677601,9/27/2024,9
170,Document Management,DocuFlow,Angular/.NET,Planning,82,1933166,12/28/2024,6
171,Customer Support Portal,InvestSmart,Python/Django,Planning,75,4968174,11/22/2024,5
172,Analytics Dashboard,InvestSmart,Java/Spring,Active,36,2160565,7/23/2024,15
173,Social Media Dashboard,TechCorp Ltd,PHP/Laravel,Active,85,4414396,11/7/2024,7
174,Blockchain Wallet,PropTech Inc,Angular/.NET,Completed,100,1679327,8/1/2024,5
175,Customer Support Portal,DocuFlow,Python/Django,Active,93,996998,2/8/2024,4
176,Real Estate Platform,FinanceFirst,Flutter,Completed,21,1467704,9/1/2024,3
177,Healthcare Portal,MediCare Systems,PHP/Laravel,Completed,11,4772710,12/28/2024,6
178,Real Estate Platform,DataViz Pro,Angular/.NET,Active,56,3830491,9/1/2024,14
179,Video Streaming App,SupportDesk,Angular/.NET,Active,66,1883505,6/7/2024,15
180,AI Chatbot Platform,StreamTech,Flutter,Active,93,1871425,9/11/2024,5
181,Learning Management System,RetailMax,Angular/.NET,Active,84,1256989,3/18/2024,6
182,Analytics Dashboard,CryptoSecure,Flutter,Completed,15,989105,6/24/2024,14
183,Blockchain Wallet,SmartDevices Co,Flutter,Completed,81,4388213,1/8/2024,3
184,Financial Analytics Tool,MediCare Systems,Flutter,Planning,61,2851529,12/27/2024,15
185,Video Streaming App,PropTech Inc,React/Node.js,Planning,47,1685925,11/26/2024,14
186,Cloud Migration Project,TechCorp Ltd,Flutter,Planning,89,2562284,3/2/2024,10
187,Real Estate Platform,LogiTrack,PHP/Laravel,Active,37,4923960,12/24/2024,8
188,Mobile Banking App,TechCorp Ltd,Angular/.NET,Planning,84,3625788,8/18/2024,12
189,Real Estate Platform,StreamTech,Java/Spring,Completed,12,4500106,1/22/2024,8
190,Cloud Migration Project,SocialConnect,PHP/Laravel,Completed,86,3385477,4/19/2024,7
191,HR Management System,SmartDevices Co,Python/Django,Completed,45,3712158,10/7/2024,5
192,CRM System,EduTech Solutions,Python/Django,Planning,12,2762905,3/18/2024,9
193,Learning Management System,PeopleFirst,Python/Django,Active,89,4338470,1/17/2024,3
194,HR Management System,CloudMasters,Angular/.NET,Active,66,1139377,11/4/2024,7
195,Healthcare Portal,SocialConnect,React/Node.js,Planning,70,2128425,12/18/2024,9
196,Financial Analytics Tool,PropTech Inc,Python/Django,Active,72,4370055,2/26/2024,6
197,Document Management,CryptoSecure,React/Node.js,Active,37,3127850,8/21/2024,10
198,HR Management System,StreamTech,React/Node.js,Active,48,4353654,5/17/2024,14
199,Social Media Dashboard,PeopleFirst,React/Node.js,Planning,83,3036400,12/16/2024,13
200,Inventory Management,HealthPlus,PHP/Laravel,Active,69,2055378,3/29/2024,8
201,Inventory Management,TechCorp Ltd,PHP/Laravel,Completed,10,1175693,3/24/2024,12
202,Food Delivery App,HealthPlus,Python/Django,Completed,36,3274020,3/3/2024,8
203,Learning Management System,StreamTech,PHP/Laravel,Planning,16,1712073,5/10/2024,10
204,Blockchain Wallet,SupportDesk,Java/Spring,Planning,17,1576447,3/4/2024,12
205,Document Management,CryptoSecure,Flutter,Planning,89,1759738,8/19/2024,8
206,Cloud Migration Project,FoodieExpress,Angular/.NET,Completed,92,2730916,8/23/2024,4
207,E-commerce Platform,StreamTech,Angular/.NET,Planning,97,3150324,4/9/2024,15
208,Mobile Banking App,FinanceFirst,Flutter,Planning,25,3076183,2/22/2024,9
209,Document Management,PropTech Inc,Python/Django,Planning,55,4749369,11/2/2024,15
210,AI Chatbot Platform,ChatBot Solutions,PHP/Laravel,Active,41,2405629,1/1/2024,13
211,AI Chatbot Platform,CryptoSecure,Angular/.NET,Completed,94,4223835,7/10/2024,9
212,Food Delivery App,PeopleFirst,Python/Django,Planning,42,3750108,11/7/2024,5
213,CRM System,ChatBot Solutions,Flutter,Planning,91,1374009,10/3/2024,7
214,Social Media Dashboard,ChatBot Solutions,Flutter,Completed,29,4676956,1/7/2024,12
215,CRM System,InvestSmart,Angular/.NET,Active,71,1859280,12/9/2024,9
216,Logistics Tracker,SupportDesk,PHP/Laravel,Active,64,4610988,2/16/2024,9
217,CRM System,SupportDesk,PHP/Laravel,Completed,97,3297906,8/13/2024,5
218,Social Media Dashboard,PropTech Inc,PHP/Laravel,Completed,10,1145912,7/11/2024,9
219,Social Media Dashboard,StreamTech,React/Node.js,Planning,91,3110333,5/18/2024,5
220,CRM System,CloudMasters,Java/Spring,Active,40,2949348,7/15/2024,15
221,Logistics Tracker,HealthPlus,Flutter,Completed,92,1925338,9/21/2024,15
222,E-commerce Platform,FinanceFirst,Flutter,Active,64,1625262,3/16/2024,5
223,CRM System,CryptoSecure,PHP/Laravel,Active,15,3523704,6/10/2024,9
224,Learning Management System,LogiTrack,Angular/.NET,Active,36,3156343,10/10/2024,3
225,Mobile Banking App,MediCare Systems,PHP/Laravel,Active,90,2254376,9/1/2024,12
226,CRM System,CryptoSecure,Angular/.NET,Active,78,1885116,8/28/2024,13
227,Healthcare Portal,PropTech Inc,React/Node.js,Planning,52,3125814,12/28/2024,8
228,Food Delivery App,ChatBot Solutions,Java/Spring,Completed,72,4522214,12/26/2024,15
229,Video Streaming App,PeopleFirst,Angular/.NET,Planning,16,2223425,8/26/2024,11
230,Real Estate Platform,DocuFlow,Python/Django,Active,86,3782169,6/5/2024,11
231,Healthcare Portal,SmartDevices Co,Java/Spring,Completed,81,1624319,1/28/2024,8
232,Logistics Tracker,FinanceFirst,Python/Django,Planning,86,1005436,6/13/2024,14
233,CRM System,DocuFlow,React/Node.js,Active,34,2724805,6/18/2024,14
234,CRM System,LogiTrack,Angular/.NET,Planning,53,2083794,8/10/2024,6
235,Social Media Dashboard,SupportDesk,Python/Django,Completed,100,4786789,7/30/2024,9
236,Real Estate Platform,RetailMax,Python/Django,Active,21,3460139,2/25/2024,13
237,E-commerce Platform,StreamTech,Flutter,Planning,92,977587,3/31/2024,10
238,Customer Support Portal,SocialConnect,Python/Django,Active,11,4906740,8/3/2024,6
239,Financial Analytics Tool,PeopleFirst,PHP/Laravel,Completed,93,3375418,2/27/2024,15
240,Real Estate Platform,StreamTech,PHP/Laravel,Active,87,1815127,4/20/2024,12
241,Healthcare Portal,HealthPlus,Python/Django,Completed,93,1236059,8/24/2024,4
242,Analytics Dashboard,SmartDevices Co,Flutter,Planning,62,1926901,6/12/2024,5
243,Cloud Migration Project,RetailMax,Python/Django,Completed,72,2726095,8/22/2024,9
244,Blockchain Wallet,TechCorp Ltd,Flutter,Planning,93,2068442,1/31/2024,3
245,IoT Monitoring System,LogiTrack,Python/Django,Planning,97,4059103,4/5/2024,6
246,Customer Support Portal,StreamTech,Angular/.NET,Active,17,4284903,7/18/2024,11
247,Healthcare Portal,LogiTrack,Flutter,Active,49,2568825,12/9/2024,14
248,Inventory Management,FinanceFirst,Angular/.NET,Active,99,4772368,3/31/2024,11
249,Mobile Banking App,FinanceFirst,Python/Django,Completed,14,3456350,4/18/2024,6
250,Logistics Tracker,PeopleFirst,Java/Spring,Completed,30,4630252,1/25/2024,12
251,Learning Management System,PeopleFirst,Angular/.NET,Planning,85,2113128,1/16/2024,14
252,Real Estate Platform,InvestSmart,Java/Spring,Active,93,916619,3/3/2024,13
253,HR Management System,EduTech Solutions,React/Node.js,Active,94,4681152,9/18/2024,15
254,AI Chatbot Platform,FinanceFirst,PHP/Laravel,Completed,75,3001678,5/29/2024,8
255,Analytics Dashboard,EduTech Solutions,PHP/Laravel,Completed,61,3497272,10/15/2024,10
256,HR Management System,SocialConnect,React/Node.js,Planning,46,1481609,9/12/2024,5
257,Financial Analytics Tool,SupportDesk,React/Node.js,Planning,59,1335545,7/23/2024,15
258,Customer Support Portal,PeopleFirst,Angular/.NET,Completed,74,2038855,8/16/2024,14
259,HR Management System,StreamTech,Java/Spring,Active,99,3424141,9/15/2024,8
260,Mobile Banking App,MediCare Systems,Java/Spring,Completed,32,4105932,1/3/2024,14
261,Real Estate Platform,PropTech Inc,Angular/.NET,Planning,74,4208142,8/26/2024,7
262,Video Streaming App,ChatBot Solutions,React/Node.js,Planning,44,2042763,6/23/2024,4
263,Learning Management System,SmartDevices Co,Flutter,Active,36,1536433,1/27/2024,8
264,Cloud Migration Project,PeopleFirst,React/Node.js,Completed,34,4228720,10/26/2024,15
265,HR Management System,StreamTech,Python/Django,Completed,82,3965922,1/23/2024,7
266,Customer Support Portal,EduTech Solutions,PHP/Laravel,Completed,49,1657098,10/21/2024,10
267,Mobile Banking App,RetailMax,PHP/Laravel,Planning,87,2475413,10/30/2024,13
268,E-commerce Platform,HealthPlus,Angular/.NET,Active,66,2616883,5/4/2024,4
269,IoT Monitoring System,TechCorp Ltd,Flutter,Planning,98,4177881,9/26/2024,14
270,Cloud Migration Project,FinanceFirst,React/Node.js,Planning,35,2319138,8/11/2024,13
271,AI Chatbot Platform,InvestSmart,Python/Django,Planning,68,3861666,8/10/2024,5
272,Logistics Tracker,InvestSmart,PHP/Laravel,Active,66,2341003,1/5/2024,9
273,Customer Support Portal,HealthPlus,React/Node.js,Planning,92,2887086,12/30/2024,13
274,Analytics Dashboard,TechCorp Ltd,Angular/.NET,Completed,95,4703207,7/14/2024,8
275,Learning Management System,PropTech Inc,PHP/Laravel,Planning,77,3730710,10/8/2024,13
276,Learning Management System,PropTech Inc,Angular/.NET,Completed,41,4225827,12/21/2024,15
277,Healthcare Portal,EduTech Solutions,Python/Django,Active,32,3084457,10/14/2024,7
278,Video Streaming App,MediCare Systems,Angular/.NET,Planning,85,4777811,7/13/2024,14
279,Real Estate Platform,CloudMasters,Java/Spring,Completed,18,1410796,2/27/2024,6
280,HR Management System,ChatBot Solutions,Flutter,Planning,49,1506745,12/23/2024,6
281,Financial Analytics Tool,InvestSmart,PHP/Laravel,Completed,94,4905779,7/14/2024,6
282,Financial Analytics Tool,StreamTech,PHP/Laravel,Completed,36,4756376,6/23/2024,6
283,Blockchain Wallet,SmartDevices Co,Python/Django,Active,92,2194764,12/16/2024,4
284,CRM System,PeopleFirst,PHP/Laravel,Planning,28,2005862,10/27/2024,15
285,Inventory Management,RetailMax,Python/Django,Completed,49,1677157,3/12/2024,15
286,Video Streaming App,HealthPlus,Angular/.NET,Active,91,4769866,12/26/2024,14
287,Learning Management System,RetailMax,Angular/.NET,Active,58,1951086,3/27/2024,11
288,E-commerce Platform,TechCorp Ltd,PHP/Laravel,Completed,46,1741513,3/8/2024,14
289,HR Management System,PropTech Inc,Java/Spring,Planning,55,2481236,10/23/2024,4
290,Inventory Management,MediCare Systems,React/Node.js,Planning,78,2386327,8/21/2024,12
291,IoT Monitoring System,HealthPlus,Java/Spring,Active,85,2488935,1/28/2024,5
292,Social Media Dashboard,InvestSmart,Python/Django,Active,33,3247454,7/30/2024,12
293,Real Estate Platform,StreamTech,Flutter,Planning,44,2823370,9/3/2024,8
294,Healthcare Portal,DocuFlow,Angular/.NET,Active,92,1237632,6/20/2024,11
295,Logistics Tracker,HealthPlus,Flutter,Planning,100,1607280,7/17/2024,11
296,Inventory Management,EduTech Solutions,Flutter,Planning,94,2618113,6/24/2024,11
297,Blockchain Wallet,PropTech Inc,React/Node.js,Active,44,4186779,12/22/2024,14
298,Customer Support Portal,SupportDesk,React/Node.js,Active,90,2116602,8/12/2024,15
299,Analytics Dashboard,EduTech Solutions,Angular/.NET,Active,99,3075370,7/3/2024,4
300,Video Streaming App,SupportDesk,Flutter,Active,52,1021267,1/30/2024,8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
